Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,720443196710,670006022531,680151971095,681074577394,690548213139,698119237810,705762582574.0,713293176515.0,721044473799.0,725407655335.0,733053999668.0,742385762165,753228044417,754451547530,763754698907,771389944547,777513214591,782105478961,794399966952,802064491145.0,811325309604.0,818946580595,828143672432.0,834297447219,840436743381,851039928010.0,860258980116.0,869348210748,872710716659,878874233625,890916440597.0
coal mining 05,11256924949,15581535408,15575999338,15362584452,15232681172,15176505170,15123483912.0,15069574152.0,15021759871.0,14905636753.000002,14859202696.0,14749386003,14769177342,14602288017,14501671498,14463561460,19080078886,18960132823,18914284927,18872105674.0,18758966696.0,18718778985,18609970167.0,18437512646,18270363987,18301933936.0,18206539262.0,18111421057,17901758290,17755035023,17729680410.0
oil and gas extraction 06,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
other mining and quarrying 07T08,5628462474,5193845136,5191999779,5120861484,5077560391,5058835057,5041161304.0,5023191384.0,5007253290.0,4968545584.0,4953067565.0,4916462001,4923059114,4867429339,4833890499,4821187153,4770019721,4740033206,4728571232,4718026419.0,4689741674.0,4679694746,4652492542.0,9218756323,9135181993,9150966968.0,9103269631.0,9055710529,8950879145,8877517511,8864840205.0
food beverage and tobacco 10T12,22513849897,20775380544,20767999117,25604307421,25387801954,25294175283,25205806521.0,25115956920.0,25036266451.0,24842727922.0,24765337827.0,24582310005,24615295569,24337146695,24169452497,28927122921,28620118329,28440199235,28371427391,28308158511.0,28138450044.0,28078168478,27914955251.0,27656268969,27405545980,27452900904.0,27309808893.0,27167131586,31328077008,31071311290,31026940717.0
textiles apparel and leather 13T15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
wood products 16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
pulp paper and printing 17T18,5628462474,10387690272,10383999559,10241722968,10155120781,10117670113,10082322608.0,10046382768.0,10014506581.0,9937091169.0,9906135131.0,9832924002,9846118228,9734858678,9667780999,9642374307,9540039443,9480066412,9457142464,9436052837.0,9379483348.0,9359389493,9304985084.0,9218756323,9135181993,9150966968.0,9103269631.0,9055710529,8950879145,8877517511,8864840205.0
refined petroleum and coke 19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
chemicals 20,16885387423,20775380544,20767999117,20483445937,20310241563,20235340226,20164645216.0,20092765536.0,20029013161.0,19874182338.0,19812270261.0,19665848004,19692236455,24337146695,24169452497,24105935767,23850098607,23700166029,23642856159,23590132093.0,23448708370.0,23398473731,23262462709.0,23046890807,22837954983,22877417420.0,22758174077.0,22639276322,22377197863,26632552534,26594520615.0
rubber and plastic products 22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0
