Pollutant:,CO2,Unit: grams of CO2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015.0,2016.0,2017.0,2018.0,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,448937021221.3661,454371528649.51086,459691162401.5292,464898464500.97815,470000000000,475000138231.8391,479898017118.9413,484689381534.91797,489371836819.8968,493942362018.346,498398952984.1575,502738861384.61554,506962661938.09,511075921307.7612,515086549239.39233,518999287159.5305,522816190791.574,526532820804.52905,530139657504.37915,533623699730.0636,536975169901.11786,540190531289.1159,543271279635.4542,546218689636.0037,549036117498.678,551726061037.9283,554288037637.6882,556720673131.6002,559024623288.0602,561200812814.1879,563249912214.7476,565172879353.6886,566969791596.945,568639407405.475,570179726317.2627,571589889938.8457
coal mining 05,352058823529.4118,363794117647.059,375529411764.7059,387264705882.3531,399000000000,410735294117.64716,410735294117.64716,410735294117.64716,410735294117.64716,410735294117.64716,410735294117.64716,410735294117.64716,410735294117.64716,410735294117.64716,410735294117.64716,410735294117.64716,399000000000.0,387264705882.3531,375529411764.7059,363794117647.059,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118,352058823529.4118
oil and gas extraction 06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined petroleum and coke 19,85850666935.50943,84188000201.63219,82525333467.75449,80862666733.87723,79200000000,77537333266.12282,78437924079.7661,79338514893.4094,80239105707.05318,81139696520.69647,82040287334.33981,82640741847.50452,83241196360.66922,83841650873.83395,84442105386.99821,85042559900.16292,85322808388.74774,85603056877.3326,85883305365.91742,86163553854.50229,86443802343.08714,87344393156.73042,88244983970.37419,89145574784.01752,90046165597.6613,90946756411.3046,92067568453.43695,93188380495.56976,94309192537.7021,95430004579.83492,96550816621.96727,97411449899.61603,98272083177.2643,99132716454.91307,99993349732.56137,100853983010.21014
