Pollutant:,CH4,Unit: grams of CH4,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,1716760963312.2124,1729554931070.8425,1742348898829.4758,1755142866588.1057,1767936834346.7393,1780730802105.3687,1792154783615.4556,1803578765125.5425,1815002746635.6292,1826426728145.712,1837850709655.7988,1847613966203.4966,1857377222751.1975,1867140479298.895,1876903735846.5925,1886666992394.294,1894395419959.2136,1902123847524.1372,1909852275089.0603,1917580702653.98,1925309130218.9026,1931590268531.3289,1937871406843.7517,1944152545156.1777,1950433683468.6003,1956714821781.026,1960772815165.609,1964830808550.1885,1968888801934.771,1972946795319.3538,1977004788703.9329,1980363564374.04,1983722340044.1465,1987081115714.2498,1990439891384.3567,1993798667054.4631
coal mining 05,305712991719.5046,315903424776.82153,326093857834.1381,336284290891.45514,346474723948.7718,356665157006.08875,356665157006.08875,356665157006.08875,356665157006.08875,356665157006.08875,356665157006.08875,356665157006.08875,356665157006.08875,356665157006.08875,356665157006.08875,356665157006.08875,346474723948.7718,336284290891.45514,326093857834.1381,315903424776.82153,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046,305712991719.5046
oil and gas extraction 06,675956086447.0173,662864869586.2145,649773652725.408,636682435864.6052,623591219003.8025,610500002143.0001,617590917841.276,624681833539.5518,631772749237.8315,638863664936.1074,645954580634.3835,650682335202.8269,655410089771.2703,660137844339.7139,664865598908.1536,669593353476.5969,671799925403.6246,674006497330.6523,676213069257.6799,678419641184.7078,680626213111.7357,687717128810.0114,694808044508.291,701898960206.567,708989875904.8468,716080791603.1228,724905647002.4594,733730502401.7994,742555357801.136,751380213200.4761,760205068599.8126,766981373583.7045,773757678567.5923,780533983551.4841,787310288535.3723,794086593519.2642
other mining and quarrying 07T08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food beverage and tobacco 10T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textiles apparel and leather 13T15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wood products 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulp paper and printing 17T18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined petroleum and coke 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
