Unit: $/MW,Distributed Solar Soft Costs
2019,1936863.58249866
2020,1831601.6350899425
2021,1726339.6876812256
2022,1621077.7402725082
2023,1515815.792863791
2024,1410553.8454550738
2025,1305291.8980463569
2026,1200029.9506376397
2027,1094768.0032289228
2028,989506.0558202058
2029,884244.1084114887
2030,778982.1610027725
2031,769736.5433252538
2032,760490.9256477347
2033,751245.3079702158
2034,741999.6902926968
2035,732754.0726151777
2036,723508.4549376589
2037,714262.8372601401
2038,705017.2195826211
2039,695771.601905102
2040,686525.9842275832
2041,677280.3665500642
2042,668034.7488725453
2043,658789.1311950263
2044,649543.5135175074
2045,640297.8958399884
2046,631052.2781624695
2047,621806.6604849505
2048,612561.0428074315
2049,603315.4251299127
2050,594069.8074523933
