Year,Battery Cost ($/MW)
2019,813519.8955606394
2020,813519.8955606394
2021,670249.8955606394
2022,575519.8955606394
2023,505619.8955606394
2024,450056.8955606394
2025,405016.8955606394
2026,365985.8955606394
2027,332129.8955606394
2028,302999.8955606394
2029,277998.8955606394
2030,256485.8955606394
2031,237801.8955606394
2032,221749.8955606394
2033,208002.8955606394
2034,196105.8955606394
2035,185660.8955606394
2036,176492.8955606394
2037,168432.8955606394
2038,161272.8955606394
2039,154834.8955606394
2040,148994.8955606394
2041,143757.8955606394
2042,139018.8955606394
2043,134714.8955606394
2044,130781.8955606394
2045,127169.8955606394
2046,123846.8955606394
2047,120770.8955606394
2048,117909.8955606394
2049,115242.8955606394
2050,112744.8955606394
